date,goal_previous_step1,goal13completions,goal17completions
2020-04-08,DA course,1,0
2020-04-08,DA course,0,0
2020-04-08,SD course,0,0
2020-04-08,SD course,0,0
2020-04-08,/courses/thank-you-for-your-application/,0,0
2020-04-08,Entrance,1,0
2020-04-09,Entrance,0,1
2020-04-09,Not set,1,0
2020-04-09,SD course,0,0
2020-04-10,Blog,1,0
2020-04-10,SD course,0,0
2020-04-11,Entrance,1,0
2020-04-11,SD course,0,0
2020-04-12,Entrance,1,0
2020-04-12,DA course,1,0
2020-04-13,Entrance,0,0
2020-04-13,Homepage,1,0
2020-04-13,Coronavirus,1,0
2020-04-13,DA course,1,0
2020-04-13,SD course,0,1
2020-04-13,SD course,0,0
2020-04-13,/courses/thank-you-data-analysis-application/?elementor-preview=18239&ver=1586351812,0,0
2020-04-13,/courses/thank-you-for-joining-our-understanding-programming-course/,0,0
2020-04-13,/courses/thank-you-for-your-application/,0,0
2020-04-14,Entrance,0,0
2020-04-14,Not set,0,0
2020-04-14,Homepage,0,1
2020-04-14,/about-us/join-us/,0,1
2020-04-14,DA course,1,0
2020-04-14,SD course,0,0
2020-04-14,Glasgow,0,1
2020-04-14,Webinars,1,0
2020-04-15,Entrance,0,1
2020-04-15,Homepage,1,1
2020-04-15,DA course,0,0
2020-04-15,DA course,0,1
2020-04-15,SD course,0,0
2020-04-15,SD course,0,1
2020-04-16,Entrance,0,2
2020-04-16,Homepage,0,1
2020-04-16,SD course,0,0
2020-04-16,Webinars,0,1
2020-04-17,Entrance,0,0
2020-04-17,SD course,0,0
2020-04-18,Entrance,0,0
2020-04-18,SD course,0,0
2020-04-19,Homepage,0,0
2020-04-19,SD course,0,1
2020-04-20,Homepage,0,1
2020-04-20,SD course,0,0
2020-04-21,Entrance,0,0
2020-04-21,Not set,0,1
2020-04-21,Homepage,0,1
2020-04-21,SD course,0,0
2020-04-22,Entrance,2,1
2020-04-22,SD course,0,0
2020-04-22,/enquire/,0,0
2020-04-22,Glasgow,0,0
2020-04-23,Entrance,0,0
2020-04-23,Homepage,0,2
2020-04-23,/campuses/,1,0
2020-04-23,SD course,0,0
2020-04-23,Glasgow,0,0
2020-04-24,Entrance,1,2
2020-04-24,Homepage,0,1
2020-04-24,DA course,0,0
2020-04-24,SD course,0,1
2020-04-25,DA course,0,0
2020-04-25,SD course,0,0
2020-04-25,Glasgow,0,0
2020-04-26,Entrance,2,2
2020-04-26,DA course,0,0
2020-04-26,SD course,0,0
2020-04-27,Entrance,2,3
2020-04-27,Homepage,0,0
2020-04-27,Coronavirus,1,0
2020-04-27,/courses/,0,0
2020-04-27,DA course,0,0
2020-04-27,SD course,0,1
2020-04-28,Entrance,1,0
2020-04-28,Not set,0,1
2020-04-28,Homepage,1,1
2020-04-28,Coronavirus,2,0
2020-04-28,/courses/,1,0
2020-04-28,DA course,0,0
2020-04-28,SD course,1,3
2020-04-29,Entrance,0,0
2020-04-29,DA course,1,0
2020-04-29,DA course,0,0
2020-04-29,SD course,0,0
2020-04-30,Entrance,0,0
2020-04-30,Homepage,0,1
2020-04-30,Coronavirus,0,0
2020-04-30,DA course,0,0
2020-04-30,SD course,0,0
2020-05-01,Homepage,0,0
2020-05-01,DA course,1,0
2020-05-01,DA course,0,0
2020-05-01,SD course,0,0
2020-05-02,Entrance,0,0
2020-05-02,Homepage,0,0
2020-05-02,DA course,0,0
2020-05-02,SD course,1,0
2020-05-02,/inverness/,1,0
2020-05-03,Entrance,0,0
2020-05-03,DA course,0,0
2020-05-03,SD course,0,0
2020-05-03,/the-codeclan-experience/the-alumni/,0,1
2020-05-04,Entrance,0,3
2020-05-04,Homepage,1,1
2020-05-04,Blog,0,0
2020-05-04,DA course,0,0
2020-05-04,DA course,1,0
2020-05-04,SD course,0,0
2020-05-04,Glasgow,0,0
2020-05-05,Entrance,0,0
2020-05-05,Homepage,0,0
2020-05-05,DA course,2,1
2020-05-05,DA course,0,0
2020-05-05,Edinburgh,0,1
2020-05-05,Webinars,0,0
2020-05-06,Entrance,0,1
2020-05-06,Coronavirus,0,1
2020-05-06,DA course,0,0
2020-05-06,SD course,0,1
2020-05-07,Entrance,0,0
2020-05-07,Homepage,0,1
2020-05-07,Blog,0,0
2020-05-07,DA course,0,0
2020-05-07,DA course,1,0
2020-05-07,DA course,0,0
2020-05-07,SD course,0,0
2020-05-08,Entrance,1,0
2020-05-08,Homepage,1,1
2020-05-08,DA course,0,0
2020-05-08,SD course,1,0
2020-05-09,Entrance,0,0
2020-05-09,Homepage,0,1
2020-05-09,/about-us/our-team/,1,0
2020-05-09,DA course,0,0
2020-05-09,SD course,0,0
2020-05-10,Entrance,0,0
2020-05-10,Homepage,0,0
2020-05-10,DA course,0,0
2020-05-10,SD course,0,0
2020-05-11,Entrance,0,1
2020-05-11,Not set,0,1
2020-05-11,Homepage,0,0
2020-05-11,Coronavirus,0,1
2020-05-11,/courses/bespoke-courses/,0,0
2020-05-11,DA course,0,0
2020-05-11,SD course,0,2
2020-05-11,/enquire/,0,0
2020-05-11,/the-codeclan-experience/a-typical-day/,0,0
2020-05-12,Entrance,0,0
2020-05-12,Not set,0,1
2020-05-12,Homepage,2,2
2020-05-12,DA course,0,1
2020-05-12,DA course,0,0
2020-05-12,SD course,0,2
2020-05-13,Entrance,1,1
2020-05-13,Homepage,0,1
2020-05-13,DA course,0,0
2020-05-13,DA course,0,0
2020-05-13,/courses/managing-data-business-students/,0,0
2020-05-13,Course (gen),0,0
2020-05-13,SD course,0,0
2020-05-13,SD course,0,0
2020-05-13,SD course,0,0
2020-05-13,Edinburgh,0,0
2020-05-14,Entrance,0,1
2020-05-14,Homepage,1,0
2020-05-14,/courses/,0,1
2020-05-14,DA course,1,1
2020-05-14,DA course,0,0
2020-05-14,SD course,0,0
2020-05-14,SD course,0,0
2020-05-14,SD course,0,0
2020-05-14,/enquire/,0,0
2020-05-14,Glasgow,0,0
2020-05-14,Webinars,1,1
2020-05-15,Entrance,0,0
2020-05-15,Blog,0,0
2020-05-15,SD course,0,0
2020-05-15,/courses/understand-software-applications/,0,1
2020-05-15,/courses/web-development/,0,1
2020-05-15,Edinburgh,0,1
2020-05-15,Entrance,0,0
2020-05-16,Entrance,0,0
2020-05-16,Homepage,1,2
2020-05-16,DA course,1,0
2020-05-16,DA course,0,0
2020-05-16,DA course,0,0
2020-05-16,SD course,0,0
2020-05-16,/courses/web-development/,0,1
2020-05-16,/digital-careers/support-engineer/,1,0
2020-05-16,Webinars,0,0
2020-05-17,Entrance,0,0
2020-05-17,SD course,0,0
2020-05-17,Edinburgh,0,1
2020-05-17,/for-employers/employer-case-studies/,0,1
2020-05-18,Entrance,1,0
2020-05-18,Homepage,0,0
2020-05-18,/about-us/join-us/,1,1
2020-05-18,DA course,1,0
2020-05-18,DA course,0,0
2020-05-18,/courses/managing-data-business-insights/?ct=t(short+courses+uk_copy_01)&mc_cid=40897d9e96&mc_eid=[uniqid],1,0
2020-05-18,/courses/managing-data-business-insights/info-pack/,1,0
2020-05-18,SD course,0,1
2020-05-18,Entrance,0,1
2020-05-19,Entrance,1,1
2020-05-19,Not set,0,1
2020-05-19,Homepage,0,1
2020-05-19,/courses/,0,0
2020-05-19,DA course,1,0
2020-05-19,DA course,0,0
2020-05-19,SD course,0,1
2020-05-19,SD course,0,0
2020-05-19,SD course,0,0
2020-05-20,Entrance,0,1
2020-05-20,Not set,0,0
2020-05-20,Homepage,1,1
2020-05-20,DA course,0,0
2020-05-20,/courses/managing-data-business-insights/,0,1
2020-05-20,SD course,0,0
2020-05-20,SD course,0,1
2020-05-21,Entrance,0,0
2020-05-21,Homepage,0,1
2020-05-21,Blog,0,0
2020-05-21,DA course,0,0
2020-05-21,SD course,0,0
2020-05-21,/for-employers/employer-case-studies/castlight-2/,0,0
2020-05-22,Entrance,2,2
2020-05-22,Homepage,0,1
2020-05-22,DA course,0,0
2020-05-22,SD course,0,1
2020-05-22,Webinars,1,0
2020-05-23,Entrance,1,1
2020-05-23,Homepage,0,3
2020-05-23,DA course,0,0
2020-05-23,SD course,0,0
2020-05-23,Webinars,0,0
2020-05-24,Entrance,0,1
2020-05-24,Not set,1,1
2020-05-24,DA course,0,0
2020-05-24,SD course,0,1
2020-05-24,Webinars,0,1
2020-05-25,Entrance,0,1
2020-05-25,/about-us/,1,0
2020-05-25,DA course,1,0
2020-05-25,DA course,0,0
2020-05-25,SD course,0,1
2020-05-25,SD course,0,0
2020-05-25,/courses/temp-bespoke-courses-2/,0,0
2020-05-25,Webinars,1,1
2020-05-26,Entrance,2,2
2020-05-26,Homepage,3,0
2020-05-26,Blog,0,1
2020-05-26,DA course,1,1
2020-05-26,DA course,0,0
2020-05-26,SD course,0,0
2020-05-26,SD course,0,1
2020-05-26,/digital-careers/,1,1
2020-05-26,Glasgow,0,1
2020-05-26,Webinars,0,0
2020-05-27,Entrance,0,1
2020-05-27,Homepage,0,3
2020-05-27,Blog,0,0
2020-05-27,Highlands,0,1
2020-05-27,DA course,0,0
2020-05-27,SD course,0,0
2020-05-27,/enquire/,0,0
2020-05-27,Webinars,0,1
2020-05-28,Entrance,0,1
2020-05-28,Homepage,0,3
2020-05-28,/courses/16-week-course/apply/,0,1
2020-05-28,DA course,0,0
2020-05-28,/courses/edaid-apply/,0,0
2020-05-28,SD course,0,0
2020-05-29,Entrance,0,0
2020-05-29,Homepage,0,0
2020-05-29,DA course,0,0
2020-05-29,DA course,0,0
2020-05-29,/courses/learn-javascript/,0,0
2020-05-29,SD course,0,0
2020-05-29,Entrance,0,0
2020-05-29,/funding/,0,0
2020-05-30,Entrance,0,1
2020-05-30,DA course,0,0
2020-05-30,SD course,0,1
2020-05-31,Entrance,0,1
2020-05-31,Homepage,0,0
2020-05-31,DA course,0,0
2020-05-31,SD course,0,0
2020-05-31,/courses/understand-software-applications/,0,1
2020-06-01,Entrance,0,0
2020-06-01,Homepage,1,0
2020-06-01,Coronavirus,0,0
2020-06-01,DA course,0,0
2020-06-01,Course (gen),1,0
2020-06-01,SD course,0,0
2020-06-01,/enquire/,0,0
2020-06-02,Entrance,1,1
2020-06-02,Homepage,0,0
2020-06-02,DA course,0,0
2020-06-02,/courses/edaid-apply/,0,0
2020-06-02,SD course,0,0
2020-06-02,Entrance,0,0
2020-06-02,Glasgow,0,1
2020-06-03,Entrance,1,1
2020-06-03,DA course,0,0
2020-06-03,/courses/managing-data-business-insights/,2,0
2020-06-03,SD course,0,1
2020-06-03,/courses/thank-you-data-analysis-application/,1,0
2020-06-04,Entrance,0,2
2020-06-04,/about-us/,0,1
2020-06-04,Blog,0,0
2020-06-04,Blog,0,0
2020-06-04,DA course,0,0
2020-06-04,SD course,0,0
2020-06-04,/enquire/,0,0
2020-06-04,Entrance,0,1
2020-06-05,Entrance,0,1
2020-06-05,DA course,0,0
2020-06-05,SD course,0,1
2020-06-05,/courses/web-development/,0,1
2020-06-06,Entrance,0,1
2020-06-06,Homepage,1,0
2020-06-06,DA course,0,0
2020-06-06,DA course,0,0
2020-06-06,SD course,1,0
2020-06-07,Entrance,0,1
2020-06-07,Homepage,1,0
2020-06-07,DA course,0,0
2020-06-07,DA course,0,0
2020-06-08,Entrance,2,1
2020-06-08,Homepage,1,2
2020-06-08,/courses/,0,1
2020-06-08,DA course,0,0
2020-06-08,/courses/edaid-apply/,0,0
2020-06-08,SD course,0,1
2020-06-08,Entrance,0,0
2020-06-08,/pre-course-work/,0,1
2020-06-09,Entrance,0,0
2020-06-09,Homepage,0,0
2020-06-09,DA course,1,0
2020-06-09,DA course,0,0
2020-06-09,/courses/learn-javascript/,0,0
2020-06-09,SD course,0,0
2020-06-09,SD course,0,0
2020-06-09,/courses/thank-you-for-joining-html-css/,0,0
2020-06-09,/courses/thank-you-learn-javascript/,0,0
2020-06-09,/funding/,0,0
2020-06-10,Entrance,2,0
2020-06-10,Homepage,0,0
2020-06-10,/courses/,0,0
2020-06-10,DA course,1,0
2020-06-10,DA course,0,0
2020-06-10,SD course,0,0
2020-06-11,Entrance,0,0
2020-06-11,Homepage,0,0
2020-06-11,DA course,1,0
2020-06-11,DA course,0,0
2020-06-11,Course (gen),1,0
2020-06-11,SD course,0,0
2020-06-11,/courses/python-for-data-analysis/,0,0
2020-06-11,/enquire/,0,0
2020-06-12,Entrance,0,1
2020-06-12,DA course,0,0
2020-06-12,SD course,0,0
2020-06-13,Entrance,0,0
2020-06-13,DA course,0,0
2020-06-13,SD course,0,0
2020-06-14,Entrance,0,0
2020-06-14,Blog,0,0
2020-06-14,DA course,0,0
2020-06-14,SD course,0,0
2020-06-14,Edinburgh,0,0
2020-06-15,Entrance,0,1
2020-06-15,DA course,0,0
2020-06-15,SD course,0,0
2020-06-15,Glasgow,0,0
2020-06-16,Entrance,0,0
2020-06-16,DA course,0,0
2020-06-16,SD course,0,0
2020-06-16,/enquire/,0,0
2020-06-16,Entrance,0,0
2020-06-17,Entrance,0,0
2020-06-17,Not set,0,0
2020-06-17,Homepage,0,0
2020-06-17,Entrance,0,1
2020-06-18,Entrance,1,0
2020-06-18,Homepage,0,1
2020-06-18,SD course,0,0
2020-06-19,Entrance,1,0
2020-06-19,Coronavirus,0,0
2020-06-19,DA course,0,0
2020-06-20,Homepage,0,0
2020-06-20,DA course,0,0
2020-06-20,SD course,0,0
2020-06-20,/courses/web-development/,0,0
2020-06-21,Homepage,1,0
2020-06-21,DA course,0,0
2020-06-21,SD course,0,0
2020-06-21,Glasgow,0,0
2020-06-22,Entrance,1,0
2020-06-22,/about-us/our-team/our-board/,0,0
2020-06-22,DA course,0,0
2020-06-22,DA course,0,0
2020-06-22,SD course,0,2
2020-06-22,/for-employers/,0,0
2020-06-22,Glasgow,0,0
2020-06-23,Entrance,0,1
2020-06-23,Homepage,0,1
2020-06-23,Blog,1,0
2020-06-23,DA course,0,0
2020-06-23,SD course,0,0
2020-06-24,Entrance,0,0
2020-06-24,DA course,0,0
2020-06-24,SD course,0,0
2020-06-24,/courses/temp-bespoke-courses-2/,0,0
2020-06-24,/funding/,0,0
2020-06-25,DA course,0,0
2020-06-25,SD course,0,0
2020-06-25,/enquire/,0,1
2020-06-25,Glasgow,0,1
2020-06-26,Entrance,0,0
2020-06-26,Homepage,1,0
2020-06-26,DA course,0,0
2020-06-26,SD course,0,1
2020-06-26,/funding/,0,1
2020-06-27,Entrance,0,0
2020-06-27,DA course,0,0
2020-06-27,DA course,0,0
2020-06-27,SD course,0,0
2020-06-27,/funding/,0,0
2020-06-28,Entrance,0,0
2020-06-28,Homepage,0,2
2020-06-28,DA course,0,0
2020-06-28,SD course,0,0
2020-06-29,Entrance,1,0
2020-06-29,Homepage,0,0
2020-06-29,DA course,2,0
2020-06-29,DA course,0,0
2020-06-29,SD course,0,0
2020-06-29,/funding/,0,0
2020-06-30,Entrance,3,2
2020-06-30,Highlands,0,0
2020-06-30,Coronavirus,0,1
2020-06-30,DA course,0,0
2020-06-30,/courses/learn-javascript/,0,1
2020-06-30,SD course,0,1
2020-06-30,SD course,0,0
2020-06-30,/digital-careers/software-developer/,0,1
2020-06-30,Glasgow,0,1
2020-07-01,Entrance,0,0
2020-07-01,Homepage,0,1
2020-07-01,/courses/,0,0
2020-07-01,DA course,0,0
2020-07-01,DA course,0,0
2020-07-01,DA course,0,0
2020-07-01,/courses/managing-data-business-insights/,0,0
2020-07-01,SD course,0,0
2020-07-01,Edinburgh,1,1
2020-07-01,/funding/,0,1
2020-07-02,Blog,1,0
2020-07-02,Blog,0,0
2020-07-02,DA course,0,0
2020-07-02,SD course,0,0
2020-07-02,Entrance,1,0
2020-07-03,Homepage,0,0
2020-07-03,DA course,0,0
2020-07-03,SD course,0,0
2020-07-03,Entrance,1,0
2020-07-03,Entrance,0,1
2020-07-03,/funding/,0,0
2020-07-04,Entrance,0,1
2020-07-04,DA course,0,0
2020-07-04,SD course,0,0
2020-07-04,/enquire/,0,0
2020-07-05,Homepage,1,1
2020-07-05,DA course,0,0
2020-07-05,SD course,0,0
2020-07-06,Entrance,0,0
2020-07-06,Homepage,0,1
2020-07-06,DA course,0,0
2020-07-06,SD course,0,0
2020-07-06,Entrance,1,1
2020-07-07,Entrance,0,0
2020-07-07,DA course,0,0
2020-07-07,SD course,0,0
2020-07-07,/funding/,0,0
2020-07-08,Entrance,0,0
2020-07-08,Highlands,0,1
2020-07-08,DA course,0,0
2020-07-08,SD course,0,1
2020-07-09,/about-us/,0,1
2020-07-09,DA course,0,0
2020-07-09,SD course,0,0
2020-07-09,/the-codeclan-experience/a-typical-day/,0,0
2020-07-10,Entrance,2,1
2020-07-10,Highlands,0,1
2020-07-10,DA course,0,0
2020-07-10,DA course,0,0
2020-07-10,DA course,0,0
2020-07-10,SD course,0,0
2020-07-10,/courses/web-development/,1,0
2020-07-11,DA course,0,0
2020-07-12,Entrance,0,0
2020-07-12,DA course,0,0
2020-07-13,Entrance,0,0
2020-07-13,Homepage,0,0
2020-07-13,Coronavirus,0,0
2020-07-13,DA course,0,0
2020-07-13,SD course,0,2
2020-07-13,/funding/,0,1
2020-07-13,Glasgow,0,0
2020-07-13,/pre-course-work/,0,0
2020-07-14,Entrance,1,1
2020-07-14,Homepage,0,2
2020-07-14,Blog,0,0
2020-07-14,DA course,0,0
2020-07-14,SD course,1,1
2020-07-14,/funding/,0,2
2020-07-14,/summer-school-2020/,0,1
2020-07-14,/the-codeclan-experience/the-alumni/,0,1
2020-07-15,Entrance,0,0
2020-07-15,Not set,0,1
2020-07-15,DA course,1,1
2020-07-15,DA course,0,0
2020-07-15,SD course,0,0
2020-07-15,/courses/r-programming-data-analysis/,1,0
2020-07-16,Entrance,0,1
2020-07-16,Homepage,0,1
2020-07-16,DA course,0,0
2020-07-16,DA course,0,0
2020-07-16,SD course,0,1
2020-07-16,/courses/temp-bespoke-courses-2/,0,0
2020-07-16,Edinburgh,1,0
2020-07-17,Entrance,0,0
2020-07-17,Homepage,0,0
2020-07-17,Blog,0,0
2020-07-17,SD course,0,0
2020-07-17,/courses/python-for-data-analysis/?fbclid=iwar15jujvgzqlmktoeyiztczhattuji_d9qdxcy-dwtkluprfars0ljub11u,1,0
2020-07-18,SD course,0,0
2020-07-18,SD course,0,0
2020-07-18,/funding/,0,0
2020-07-19,Entrance,0,0
2020-07-19,DA course,1,1
2020-07-19,SD course,0,0
2020-07-20,Entrance,1,1
2020-07-20,Homepage,1,0
2020-07-20,DA course,0,0
2020-07-20,SD course,0,0
2020-07-21,Entrance,0,0
2020-07-21,DA course,0,0
2020-07-21,DA course,0,0
2020-07-21,/courses/learn-html-css/,1,0
2020-07-21,SD course,0,0
2020-07-21,Glasgow,0,1
2020-07-22,Entrance,0,0
2020-07-22,Homepage,0,1
2020-07-22,/?elementor-preview=15&ver=1595423297,0,0
2020-07-22,Blog,1,0
2020-07-22,SD course,0,0
2020-07-23,Entrance,0,1
2020-07-23,Homepage,1,0
2020-07-23,/courses/,0,0
2020-07-23,SD course,0,0
2020-07-24,Entrance,0,0
2020-07-24,SD course,0,0
2020-07-24,/courses/thank-you-learn-javascript/,0,0
2020-07-25,Entrance,0,0
2020-07-26,Entrance,0,0
2020-07-26,Homepage,1,0
2020-07-26,DA course,0,0
2020-07-26,SD course,0,0
2020-07-26,Entrance,1,0
2020-07-26,/subscribe/,0,0
2020-07-27,Entrance,0,0
2020-07-27,Homepage,0,0
2020-07-27,/courses/,0,0
2020-07-27,DA course,0,0
2020-07-27,SD course,0,0
2020-07-27,Entrance,1,0
2020-07-27,/the-codeclan-experience/,1,0
2020-07-28,Entrance,0,1
2020-07-28,Homepage,1,1
2020-07-28,SD course,0,0
2020-07-28,SD course,0,0
2020-07-28,/data-protection/,0,0
2020-07-28,Entrance,1,2
2020-07-28,Glasgow,0,1
2020-07-29,Entrance,0,0
2020-07-29,Not set,0,1
2020-07-29,/about-us/,0,1
2020-07-29,Blog,0,0
2020-07-29,SD course,0,1
2020-07-29,SD course,0,0
2020-07-29,Glasgow,0,0
2020-07-30,Entrance,0,0
2020-07-30,Homepage,0,0
2020-07-30,SD course,0,0
2020-07-30,/courses/sdlc-fundamentals/,0,0
2020-07-31,Entrance,0,0
2020-07-31,Homepage,0,1
2020-07-31,SD course,0,0
2020-08-01,Entrance,0,0
2020-08-01,SD course,0,0
2020-08-02,Entrance,0,0
2020-08-02,Homepage,0,1
2020-08-02,SD course,0,0
2020-08-02,/summer-school-2020/,1,0
2020-08-03,Entrance,0,1
2020-08-03,DA course,0,0
2020-08-03,SD course,0,0
2020-08-03,/data-protection/,0,0
2020-08-03,/for-employers/,0,1
2020-08-04,Entrance,0,0
2020-08-04,Homepage,1,0
2020-08-04,Highlands,0,1
2020-08-04,SD course,0,1
2020-08-05,Entrance,0,0
2020-08-05,SD course,0,0
2020-08-05,/courses/r-programming-data-analysis/,0,0
2020-08-05,Edinburgh,0,1
2020-08-05,/for-employers,1,0
2020-08-05,/funding/,0,0
2020-08-05,/the-codeclan-experience/a-typical-day/,0,1
2020-08-06,Entrance,0,0
2020-08-06,Highlands,1,1
2020-08-06,/courses/data-courses/,0,0
2020-08-06,SD course,0,0
2020-08-07,Entrance,0,0
2020-08-07,Homepage,1,1
2020-08-07,SD course,0,0
2020-08-08,Entrance,0,0
2020-08-08,SD course,0,0
2020-08-08,Glasgow,0,0
2020-08-09,Entrance,0,0
2020-08-09,SD course,0,0
2020-08-10,Entrance,0,0
2020-08-10,/about-us/our-team/our-board/,0,0
2020-08-10,/courses/data-courses/,1,0
2020-08-10,SD course,0,0
2020-08-10,/data-protection/,0,0
2020-08-10,/subscribe/,0,0
2020-08-11,Entrance,2,1
2020-08-11,Homepage,1,0
2020-08-11,SD course,0,1
2020-08-12,Entrance,0,0
2020-08-12,DA course,1,0
2020-08-12,SD course,0,1
2020-08-13,Entrance,1,0
2020-08-13,SD course,0,1
2020-08-13,/data-protection/,0,0
2020-08-13,Glasgow,0,0
2020-08-13,/subscribe/,0,0
2020-08-14,Entrance,0,0
2020-08-14,Homepage,1,0
2020-08-14,SD course,0,0
2020-08-14,Glasgow,0,1
2020-08-15,Entrance,0,1
2020-08-15,SD course,0,0
2020-08-16,Entrance,0,0
2020-08-16,Homepage,1,0
2020-08-16,SD course,0,1
2020-08-16,/data-protection/,0,0
2020-08-16,/subscribe/,0,0
2020-08-17,Entrance,0,0
2020-08-17,SD course,0,3
2020-08-18,Entrance,0,2
2020-08-18,Coronavirus,0,1
2020-08-18,SD course,0,0
